manual_review
sofifa_id,statsbomb_id,statsbomb_name,statsbomb_name_norm,short_name,long_name,player_positions,club_name,shooting,attacking_heading_accuracy,preferred_foot,weak_foot
231242,10448.0,{'Adam Ounas'},adam ounas,A. Ounas,Adam Mohamed Ounas,"RW, ST, CAM",FC Girondins de Bordeaux,64,51,Left,4
231346,10461.0,{'Alexis Alégué Elandi'},alexis alegue elandi,A. Alégué,Alexis Alégué Elandi,"RM, CF",FC Nantes,55,42,Left,3
190034,10476.0,{'Timothée Kolodziejczak'},timothee kolodziejczak,T. Kolodziejczak,Timothée Christian Kolodziejczak,"CB, LB",Sevilla FC,41,67,Left,2
188765,10522.0,{'Mehdi Mostefa Sbaa'},mehdi mostefa sbaa,M. Mostefa,Mehdi Mostefa Sbaa,"CDM, RB",SC Bastia,49,73,Right,3
231535,10779.0,{'Cameron Borthwick-Jackson'},cameron borthwick jackson,C. Borthwick-Jackson,Cameron Jake Borthwick-Jackson,"LB, CB",Manchester United,40,65,Left,3
177553,10790.0,{'Adelino André Vieira Freitas'},adelino andre vieira freitas,Vieirinha,Adelino André Vieira de Freitas,"RM, RB",VfL Wolfsburg,73,42,Right,4
190875,10919.0,{'Juraj Kucka'},juraj kucka,J. Kucka,Juraj Kucka,CM,AC Milan,74,74,Right,3
184716,10931.0,{'Joe Allen'},joe allen,J. Allen,Joseph Michael Allen,"CM, CDM",Liverpool FC,56,44,Right,3
134956,10936.0,{'Lorik Agim Cana'},lorik agim cana,L. Cana,Lorik Agim Cana,CB,FC Nantes,55,78,Right,3
149791,10966.0,{'Wes Hoolahan'},wes hoolahan,W. Hoolahan,Wesley Hoolahan,CAM,Norwich City,70,43,Left,2
201884,10967.0,{‘Robert Brady'},Robert brady,R. Brady,Robert Brady,"LM, LB, LWB",Norwich City,69,53,Left,4
231627,11128.0,{'Umar Sadiq Mesbah'},umar sadiq mesbah,S. Umar,Umar Sadiq Mesbah,ST,AS Roma,60,62,Right,3
25420,11132.0,{'Claudio Miguel Pizarro Bossio'},claudio miguel pizarro bossio,C. Pizarro,Claudio Miguel Pizarro Bossio,"ST, CAM",Werder Bremen,79,80,Right,4
190670,11286.0,{'Dominik Maroh'},dominik maroh,D. Maroh,Dominic Maroh,CB,1. FC Köln,39,75,Right,2
189908,11508.0,{'Łukasz Skorupski'},ukasz skorupski,Ł. Skorupski,Łukasz Skorupski,GK,Empoli,17,10,Right,2
139597,11542.0,{'Javier Guerra Rodríguez'},javier guerra rodriguez,Javi Guerra,Javier Guerra Rodríguez,ST,Rayo Vallecano,73,75,Right,3
210389,13448.0,{'Bradley Shaun Smith'},bradley shaun smith,B. Smith,Bradley Shaun Smith,"LB, LWB",Liverpool FC,42,35,Left,3
190752,13846.0,{'Jan Kirchhoff'},jan kirchhoff,J. Kirchhoff,Jan Tilman Kirchhoff,"CDM, CB",Sunderland AFC,40,84,Right,3
209973,16014.0,{'Jean Pierre Nsamé'},jean pierre nsame,J. N'Samé,Jean-Pierre Nsame,ST, Angers SCO,59,67,Right,3
210625,16027.0,{'Kevin Mbabu'},kevin mbabu,K. Mbabu,Melingo Kevin Mbabu,"LB, RB",Newcastle United,31,53,Right,3
198900,16061.0,{'Uroš Ćosić'},uros cosic,U. Ćosić,Uroš Ćosić,CB,Empoli,30,67,Right,2
204260,16271.0,{'Florian Raspentino'},florian raspentino,F. Raspentino,Florian Raspentino,"RM, ST",SC Bastia,66,66,Right,3
210872,16426.0,{'Wanderson Maciel Sousa Campos'},wanderson maciel sousa campos,Wanderson,Wanderson Maciel Sousa Campos,"RM, LW, LM",Getafe CF,57,41,Right,4
231493,16502.0,{'László Kleinheisler'},laszlo kleinheisler,L. Kleinheisler,László Kleinheisler,"LM, RM, CAM", Werder Bremen,58,44,Right,4
231361,18921.0,{'Joris Gnagnon'},joris gnagnon,J. Gnagnon,Joris Gnagnon,CB,Stade Rennais,34,59,Right,2
137809,18953.0,{'Vágner Silva de Souza'},vagner silva de souza,Vágner Love,Vágner Silva de Souza,"ST, CF, LW",AS Monaco,78,76,Left,4
152514,19688.0,{'Jason Puncheon'},jason puncheon,J. Puncheon,Jason David Ian Puncheon,"CAM, LM, RM, CM",Crystal Palace,74,41,Left,2
