shot_aerial_won,shot_first_time,shot_statsbomb_xg,under_pressure,shot_open_goal,shot_follows_dribble,goal,shot_body_part_Head,shot_body_part_Left Foot,shot_body_part_Other,shot_body_part_Right Foot,shot_technique_Backheel,shot_technique_Diving Header,shot_technique_Half Volley,shot_technique_Lob,shot_technique_Normal,shot_technique_Overhead Kick,shot_technique_Volley,shot_type_Corner,shot_type_Free Kick,shot_type_Open Play,shot_type_Penalty,x,y,distance,angle,shooting
0,0,0.046689555,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,109.2,38.5,0.15188338197369347,0.22234026059812412,0.6902654867256637
0,0,0.04595543,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,95.4,43.4,0.35787293193336245,0.10077306340327495,0.5132743362831858
0,1,0.022285765,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,91.3,32.7,0.42855616691488685,0.0829541585156278,0.654867256637168
0,0,0.12239959,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,113.0,40.5,0.09442242965409121,0.32944598582880885,0.8938053097345133
0,0,0.055132754,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,97.5,32.1,0.34327411164451127,0.10022389960751334,0.654867256637168
0,0,0.04358182,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,99.5,50.8,0.3332822510566002,0.09709103666886311,0.654867256637168
0,0,0.031992633,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,101.9,27.0,0.3201786630034259,0.09314834696062965,0.6814159292035398
0,0,0.08546485,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,112.4,42.5,0.1089552355083467,0.28724462177240034,0.486725663716814
0,0,0.10511785,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,114.4,30.5,0.15371735020836588,0.12770425681571104,0.6814159292035398
0,0,0.6125727,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,113.9,43.3,0.09320369000631985,0.314797809073704,0.486725663716814
0,0,0.21403745,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,112.8,49.0,0.16108040190344297,0.1457914496428186,0.5132743362831858
0,0,0.031951834,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,100.1,25.0,0.35914795630699675,0.0819022080743852,0.5221238938053097
0,0,0.028054954,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,100.8,23.8,0.36212365332553387,0.07789632343694187,0.5132743362831858
0,0,0.0393697,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,111.8,55.1,0.2447352875776999,0.07344407315484694,0.6814159292035398
0,0,0.060334682,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,108.7,51.8,0.23224228158792493,0.11006696989810119,0.5486725663716814
0,0,0.03983675,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,95.5,35.5,0.35899661113350567,0.09980279932221146,0.6194690265486726
0,0,0.1528157,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,113.9,41.9,0.08512446038166828,0.350232293897869,0.37168141592920345
0,0,0.02001482,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,89.3,48.9,0.4633091626135423,0.07624158312699121,0.486725663716814
0,0,0.025886346,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,92.9,41.8,0.39226616412803955,0.09289698793055828,0.6194690265486726
0,1,0.14589794,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,107.0,27.1,0.26146506001996594,0.1001959235057992,0.5132743362831858
0,1,0.24243128,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,108.8,33.4,0.1828824283277106,0.16863406693630048,0.6194690265486726
0,0,0.018658962,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,88.0,45.3,0.4702872028993499,0.07710457537720386,0.4070796460176991
0,0,0.029070292,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,91.5,36.0,0.4162159504934227,0.08710846734677363,0.35398230088495575
0,0,0.012476251,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,102.7,25.5,0.32444101808381587,0.08702623131402885,0.6194690265486726
0,0,0.019865463,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,92.2,50.5,0.43007899330878047,0.0799204830247566,0.8407079646017699
0,1,0.22859909,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,116.8,35.1,0.07718807643868,0.3028626976019171,0.8407079646017699
0,0,0.024718713,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,99.5,23.0,0.38445899656050986,0.07394221939608807,0.5486725663716814
0,0,0.11984975,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,108.8,34.3,0.1764798337393787,0.17924499832382765,0.8938053097345133
0,0,0.030138908,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,108.0,25.5,0.26896706597242065,0.08802594961571238,0.5663716814159292
0,0,0.045087036,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,108.9,52.8,0.24118204608602178,0.1007753514084532,0.38938053097345127
1,0,0.07143857,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,114.0,46.2,0.1182303670381341,0.21887862029051092,0.8938053097345133
0,1,0.15989672,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,111.5,47.4,0.1572985194407658,0.17494367780744038,0.6194690265486726
0,0,0.022494936,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,90.2,39.0,0.4315568873229731,0.08485184105043204,0.486725663716814
0,0,0.09027687,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,108.8,53.8,0.2534623446514493,0.0924189923760516,0.37168141592920345
0,1,0.13151245,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,106.2,27.6,0.2649907293526507,0.1032884620475546,0.5221238938053097
0,0,0.2151827,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,105.6,33.2,0.22613263093364394,0.14370198218941396,0.6194690265486726
0,0,0.041664135,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,97.4,44.4,0.3311151452758864,0.10763992254164668,0.4424778761061947
