player_id,statsbomb_name,statsbomb_name_norm,fifa_player_name,fifa_name_norm,match_score
3598.0,Wilfried Guemiand Bony,wilfried guemiand bony,Wilfried Zaha,wilfried zaha,85.5
3598.0,Wilfried Guemiand Bony,wilfried guemiand bony,Wilfried Bony,wilfried bony,85.5
3598.0,Wilfried Guemiand Bony,wilfried guemiand bony,Ilori,ilori,72.0
3598.0,Wilfried Guemiand Bony,wilfried guemiand bony,Ivan Toney,ivan toney,66.31578947368422
3589.0,Yannick Bolasie Yala,yannick bolasie yala,Yannick Bolasie,yannick bolasie,95.0
3589.0,Yannick Bolasie Yala,yannick bolasie yala,Allan,allan,67.5
3289.0,Romelu Lukaku Menama,romelu lukaku menama,Romelu Lukaku,romelu lukaku,90.0
3289.0,Romelu Lukaku Menama,romelu lukaku menama,Adama,adama,67.5
4629.0,José Ramiro Funes Mori,jose ramiro funes mori,Ramiro Funes Mori,ramiro funes mori,95.0
4629.0,José Ramiro Funes Mori,jose ramiro funes mori,José Enrique,jose enrique,85.5
4629.0,José Ramiro Funes Mori,jose ramiro funes mori,José Fonte,jose fonte,85.5
4629.0,José Ramiro Funes Mori,jose ramiro funes mori,Jose Holebas,jose holebas,85.5
4629.0,José Ramiro Funes Mori,jose ramiro funes mori,Joselu,joselu,72.0
9463.0,Alexander Banor Tettey,alexander banor tettey,Alexander Tettey,alexander tettey,95.0
9463.0,Alexander Banor Tettey,alexander banor tettey,Alexandre Pato,alexandre pato,70.71428571428571
9463.0,Alexander Banor Tettey,alexander banor tettey,Leandro Bacuna,leandro bacuna,66.66666666666667
10967.0,Robert Brady,robert brady,Robbie Brady,robbie brady,83.33333333333334
10967.0,Robert Brady,robert brady,Robert Huth,robert huth,67.05882352941177
16295.0,Dame N''Doye,dame n''doye,Dame N'Doye,dame n'doye,95.65217391304348
16295.0,Dame N''Doye,dame n''doye,Adama,adama,67.5
9452.0,Gary O''Neil,gary o''neil,Gary O'Neil,gary o'neil,95.65217391304348
3529.0,Daniel Andre Sturridge,daniel andre sturridge,Daniel Sturridge,daniel sturridge,95.0
3529.0,Daniel Andre Sturridge,daniel andre sturridge,Daniel Crowley,daniel crowley,85.5
3529.0,Daniel Andre Sturridge,daniel andre sturridge,André Green,andre green,85.5
3529.0,Daniel Andre Sturridge,daniel andre sturridge,Andre Olukanmi,andre olukanmi,85.5
3529.0,Daniel Andre Sturridge,daniel andre sturridge,Daniel Amartey,daniel amartey,85.5
3535.0,Roberto Firmino Barbosa de Oliveira,roberto firmino barbosa de oliveira,Roberto Firmino,roberto firmino,90.0
3535.0,Roberto Firmino Barbosa de Oliveira,roberto firmino barbosa de oliveira,Ritchie De Laet,ritchie de laet,85.5
3535.0,Roberto Firmino Barbosa de Oliveira,roberto firmino barbosa de oliveira,Kevin De Bruyne,kevin de bruyne,85.5
3535.0,Roberto Firmino Barbosa de Oliveira,roberto firmino barbosa de oliveira,De Gea,de gea,85.5
3535.0,Roberto Firmino Barbosa de Oliveira,roberto firmino barbosa de oliveira,Siem de Jong,siem de jong,85.5
3501.0,Philippe Coutinho Correia,philippe coutinho correia,Coutinho,coutinho,90.0
4090.0,Adam David Lallana,adam david lallana,Allan,allan,90.0
4090.0,Adam David Lallana,adam david lallana,David Ospina,david ospina,85.5
4090.0,Adam David Lallana,adam david lallana,Adam Smith,adam smith,85.5
4090.0,Adam David Lallana,adam david lallana,David Henen,david henen,85.5
4090.0,Adam David Lallana,adam david lallana,Adam Lallana,adam lallana,85.5
2956.0,Bertrand Isidore Traoré,bertrand isidore traore,Bertrand Traoré,bertrand traore,85.5
2956.0,Bertrand Isidore Traoré,bertrand isidore traore,Ryan Bertrand,ryan bertrand,85.5
3958.0,Pedro Eliezer Rodríguez Ledesma,pedro eliezer rodriguez ledesma,Pedro,pedro,90.0
3958.0,Pedro Eliezer Rodríguez Ledesma,pedro eliezer rodriguez ledesma,Joao Rodríguez,joao rodriguez,85.5
3958.0,Pedro Eliezer Rodríguez Ledesma,pedro eliezer rodriguez ledesma,Jay Rodriguez,jay rodriguez,85.5
3958.0,Pedro Eliezer Rodríguez Ledesma,pedro eliezer rodriguez ledesma,Pedro Obiang,pedro obiang,85.5
3472.0,Willian Borges da Silva,willian borges da silva,Willian,willian,90.0
3472.0,Willian Borges da Silva,willian borges da silva,David Silva,david silva,85.5
3472.0,Willian Borges da Silva,willian borges da silva,Allan,allan,72.0
3478.0,Francesc Fàbregas i Soler,francesc fabregas i soler,Cesc Fàbregas,cesc fabregas,90.0
38412.0,Kolo Habib Touré,kolo habib toure,Kolo Touré,kolo toure,85.5
38412.0,Kolo Habib Touré,kolo habib toure,Yaya Touré,yaya toure,85.5
38412.0,Kolo Habib Touré,kolo habib toure,Moha,moha,67.5
4590.0,Nathaniel Edwin Clyne,nathaniel edwin clyne,Nathaniel Clyne,nathaniel clyne,95.0
4590.0,Nathaniel Edwin Clyne,nathaniel edwin clyne,Nathan,nathan,90.0
4590.0,Nathaniel Edwin Clyne,nathaniel edwin clyne,Nathan AkéL,nathan akel,72.0
4590.0,Nathaniel Edwin Clyne,nathaniel edwin clyne,Nathan Aké,nathan ake,70.00000000000001
4590.0,Nathaniel Edwin Clyne,nathaniel edwin clyne,Nathan DyerL,nathan dyerl,68.57142857142857
3473.0,James Philip Milner,james philip milner,Matty James,matty james,85.5
3473.0,James Philip Milner,james philip milner,James Milner,james milner,85.5
3473.0,James Philip Milner,james philip milner,James Wilson,james wilson,85.5
42902.0,Adam Johnson,adam johnson,Reece Hall-Johnson,reece hall johnson,85.5
42902.0,Adam Johnson,adam johnson,Adama,adama,80.0
42902.0,Adam Johnson,adam johnson,Sam Johnstone,sam johnstone,80.0
42902.0,Adam Johnson,adam johnson,Glen Johnson,glen johnson,70.0
42902.0,Adam Johnson,adam johnson,Callam Jones,callam jones,66.66666666666667
3532.0,Jordan Brian Henderson,jordan brian henderson,Jordan Henderson,jordan henderson,95.0
3532.0,Jordan Brian Henderson,jordan brian henderson,Jordan Amavi,jordan amavi,85.5
3532.0,Jordan Brian Henderson,jordan brian henderson,Jordan Ayew,jordan ayew,85.5
3532.0,Jordan Brian Henderson,jordan brian henderson,Jordan Lyden,jordan lyden,85.5
3532.0,Jordan Brian Henderson,jordan brian henderson,Jordan Lee,jordan lee,85.5
4913.0,Bojan Krkíc Pérez,bojan krkic perez,Bojan,bojan,90.0
4913.0,Bojan Krkíc Pérez,bojan krkic perez,Ayoze Pérez,ayoze perez,85.5
3606.0,Ander Herrera Agüera,ander herrera aguera,Ander Herrera,ander herrera,90.0
3296.0,Marouane Fellaini-Bakkioui,marouane fellaini bakkioui,Marouane Fellaini,marouane fellaini,90.0
