location,player,player_id,position,shot_aerial_won,shot_first_time,shot_statsbomb_xg,under_pressure,shot_open_goal,shot_follows_dribble,goal,shot_body_part_Head,shot_body_part_Left Foot,shot_body_part_Other,shot_body_part_Right Foot,shot_technique_Backheel,shot_technique_Diving Header,shot_technique_Half Volley,shot_technique_Lob,shot_technique_Normal,shot_technique_Overhead Kick,shot_technique_Volley,shot_type_Corner,shot_type_Free Kick,shot_type_Open Play,shot_type_Penalty,x,y,distance,angle
"[100.1, 24.9]",Gylfi Þór Sigurðsson,3944.0,Left Center Midfield,0,0,0.024440786,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,100.1,24.9,24.980392310770466,14.6725717446875
"[117.9, 49.0]",Jeremain Lens,16457.0,Center Attacking Midfield,0,0,0.08203302,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,117.9,49.0,9.241753080449618,13.606202390105516
"[103.9, 53.7]",Jermain Defoe,3337.0,Center Forward,0,1,0.1962314,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,103.9,53.7,21.14000946073582,16.64189234197756
"[93.4, 37.8]",Gylfi Þór Sigurðsson,3944.0,Left Center Midfield,0,0,0.023868674,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,93.4,37.8,26.690822392725178,16.991659384962894
"[104.5, 26.7]",Neil Taylor,9627.0,Left Back,0,0,0.04156433,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,104.5,26.7,20.424005483743876,17.177373303562586
"[116.0, 38.3]",Jermain Defoe,3337.0,Center Forward,0,1,0.90750873,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,116.0,38.3,4.346262762420147,84.83947487172757
"[94.7, 51.5]",Bafétimbi Gomis,20521.0,Center Forward,0,0,0.03200255,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,94.7,51.5,27.79100573926751,14.981572833011935
"[112.1, 40.4]",Micah Richards,42700.0,Right Center Back,1,0,0.0852986,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,112.1,40.4,7.910120100226044,53.61472045751265
"[96.6, 43.7]",Pedro Eliezer Rodríguez Ledesma,3958.0,Right Wing,0,0,0.03780446,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,96.6,43.7,23.690715480964275,18.948819679001392
"[93.3, 21.8]",Rudy Gestede,19362.0,Center Forward,0,0,0.00886553,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,93.3,21.8,32.3130004796831,11.736573088149754
"[91.8, 52.0]",Alan Hutton,9642.0,Right Back,0,1,0.01910268,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,91.8,52.0,30.647022693893124,13.731531331898196
