shot_aerial_won,shot_first_time,under_pressure,shot_open_goal,shot_follows_dribble,goal,shot_technique_Backheel,shot_technique_Diving Header,shot_technique_Half Volley,shot_technique_Lob,shot_technique_Normal,shot_technique_Overhead Kick,shot_technique_Volley,shot_type_Corner,shot_type_Free Kick,shot_type_Open Play,shot_type_Penalty,distance,angle,shooting,body_part_rating
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.3735698353823071,0.0874423592215316,0.809069212410501,1.0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.2510222848480058,0.08242268852630587,0.9140811455847255,1.0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.23798021485151194,0.12371301811440132,0.8520286396181382,1.0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.3098161357003842,0.1169502031007291,0.8377088305489258,1.0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.3703053605886665,0.11214072253663597,0.8758949880668256,1.0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.08439660787381024,0.3944863939372386,0.6587112171837708,0.08519269776876269
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.47920241859287993,0.08557672927806854,0.6085918854415275,
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.40503710083292055,0.1043547947758259,0.8758949880668256,1.0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.16210999776343457,0.23001907067750685,0.8377088305489258,0.13793103448275862
0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.2684873259594908,0.11258394872988839,0.809069212410501,1.0
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.186451010289914,0.18974424324327233,0.8758949880668256,1.0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.48648714173479973,0.08654970622997543,0.5441527446300716,1.0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.4300394733951407,0.09782855179708153,0.7661097852028638,1.0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.3342310592000917,0.09773583513078793,0.8758949880668256,1.0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.44451179294019394,0.08972448936283911,0.8042959427207637,1.0
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.07611142214763517,0.34107974352324183,0.8042959427207637,1.0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.3968868105046027,0.08298432139298252,0.8520286396181382,1.0
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0.17976702351775192,0.20170749282724643,0.928400954653938,0.16024340770791076
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.27631904290784637,0.09886296328946824,0.8353221957040573,1.0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.24731287941853264,0.11323722226094868,0.5155131264916468,1.0
1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.1189575095706802,0.2463922517977603,0.928400954653938,0.16024340770791076
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.15974269599305468,0.19685798725616185,0.8758949880668256,1.0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.4460546399696659,0.09528432805131053,0.6085918854415275,
0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.26013289356078423,0.10381588071543386,0.6587112171837708,1.0
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.2721679474415426,0.11607061819102238,0.6324582338902147,0.3914807302231238
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.23160204681473406,0.16163467005100726,0.8758949880668256,1.0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.34119851235553966,0.12097665386728915,0.503579952267303,0.5943204868154158
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.2249443545518015,0.13724927600550588,0.503579952267303,1.0
0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.09259694759716121,0.3382682624040517,0.8758949880668256,1.0
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.22785593741887583,0.148938463812031,0.8782816229116945,0.797160243407708
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.2101331607438737,0.1636208852644234,0.8186157517899761,1.0
1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.08456559659578296,0.4005555191034813,0.9140811455847255,0.11764705882352942
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.11367286306578415,0.30721665574811313,0.9140811455847255,1.0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.26034561182155225,0.08765659335331641,0.8782816229116945,1.0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.2951166136243494,0.09693911197473859,0.9140811455847255,1.0
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.2812354807012846,0.09177948845170789,0.8878281622911692,1.0
1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.152667781198991,0.2537699965775241,0.34367541766109794,0.13793103448275862
1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.1594959615974197,0.2391418354653787,0.928400954653938,0.16024340770791076
0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.14252916277044084,0.16482267295890535,0.8878281622911692,1.0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.3219191667443693,0.10833254207483858,0.5990453460620524,0.5943204868154158
1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.16217079965788553,0.2393405332741502,0.928400954653938,0.16024340770791076
1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.14678862186446706,0.26192418186316874,0.8782816229116945,0.15821501014198783
0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.08145325789398897,0.4087855129891084,0.8782816229116945,1.0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.25156078243865443,0.07721258638923283,0.8830548926014319,1.0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.30934881705385425,0.11054967316986954,0.8830548926014319,0.797160243407708
1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.17687097805854257,0.22284176920335824,0.8782816229116945,0.15821501014198783
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.3090282954687516,0.07656338010441897,0.8186157517899761,1.0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.42048266509788146,0.09486534301876443,0.8830548926014319,1.0
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.15341572105290827,0.21460663727024842,0.928400954653938,0.5943204868154158
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.311038279082317,0.11970364088727221,0.928400954653938,1.0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.1299214943384627,0.23376048644519615,0.9140811455847255,0.5943204868154158
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.403054431796397,0.10494907403429435,0.8186157517899761,1.0
0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.4650294075114459,0.08975499043254702,0.5560859188544152,0.5943204868154158
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.275678590792016,0.13148518715843904,0.8758949880668256,1.0
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.28284418133151334,0.1416091080649616,0.5155131264916468,1.0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.12693136071998837,0.2947126566821946,0.928400954653938,1.0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.34279400830157675,0.11548355059416507,0.8878281622911692,0.797160243407708
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.3825122556588524,0.09694125678309423,0.8758949880668256,1.0
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.42814462874051157,0.09897562919375615,0.8782816229116945,0.797160243407708
1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.14483804348824197,0.26531248982342426,0.34128878281622904,0.16024340770791076
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.266444321983441,0.09496364387636771,0.8186157517899761,0.797160243407708
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.44325553798752443,0.08299134863734246,0.8758949880668256,1.0
1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.11867092529049271,0.31160755525330525,0.5202863961813842,0.14198782961460446
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.31087705809041744,0.1328237357892208,0.7661097852028638,1.0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.31547710233996873,0.11072354928874302,0.8520286396181382,0.3914807302231238
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.4213698284065929,0.09654189221668731,0.8830548926014319,1.0
